Age,M,F
0-4,292069,275987
5-9,276349,262003
10-14,247282,233268
15-19,310528,293453
20-24,342008,326876
25-29,311397,296743
30-34,296714,283057
35-39,313655,303713
40-44,340460,329216
45-49,330469,318811
50-54,303402,296098
55-59,281812,279083
60-64,300462,302913
65-69,281493,284750
70-74,202864,214661
75-79,139500,167695
80-84,99789,140450
85-89,61597,105549
90-94,23971,52428
95-99,4570,13976
100+,283,1413
