Age,M,F
0-4,242703,230000
5-9,250038,238292
10-14,284587,271688
15-19,300295,285427
20-24,295593,282930
25-29,287804,274924
30-34,297605,284782
35-39,337815,324102
40-44,307587,290621
45-49,237589,230397
50-54,213106,214951
55-59,218463,227269
60-64,234641,250919
65-69,205093,229460
70-74,177041,214763
75-79,128133,178357
80-84,70670,119937
85-89,28849,58778
90-94,7702,19426
95-99,1240,3654
100+,102,317
