Age,M,F
0-4,265811,251956
5-9,243691,231462
10-14,265377,253132
15-19,297737,283781
20-24,308002,292436
25-29,299319,284415
30-34,290920,277839
35-39,315221,303239
40-44,333209,318918
45-49,277125,264398
50-54,218301,217024
55-59,206799,214629
60-64,217242,233935
65-69,211335,237442
70-74,173003,210404
75-79,132978,182858
80-84,78763,129550
85-89,33092,67502
90-94,9964,23975
95-99,1940,5567
100+,113,386
