Age,M,F
0-4,248421,235944
5-9,308443,293130
10-14,287696,272570
15-19,256699,243536
20-24,269583,259639
25-29,307858,296893
30-34,325419,310300
35-39,315206,300301
40-44,296347,285855
45-49,303470,295762
50-54,327646,320354
55-59,278574,271568
60-64,208074,213971
65-69,180407,200199
70-74,168786,203344
75-79,147505,196365
80-84,92314,145166
85-89,46570,92905
90-94,14824,38479
95-99,2749,9365
100+,151,717
