Age,M,F
0-4,269279,255493
5-9,235426,223487
10-14,304595,289344
15-19,310224,294581
20-24,277055,264410
25-29,275905,265411
30-34,306060,296376
35-39,329289,316732
40-44,322648,309659
45-49,300303,291145
50-54,288853,283486
55-59,316064,313878
60-64,288559,285505
65-69,212331,220135
70-74,162661,185569
75-79,134659,173205
80-84,104459,156249
85-89,54354,99641
90-94,18323,45449
95-99,3093,11034
100+,197,1044
