Age,M,F
0-4,221526,210154
5-9,301187,286422
10-14,302821,287197
15-19,267071,253083
20-24,262745,252473
25-29,296851,287154
30-34,323828,310288
35-39,322416,307354
40-44,301911,290595
45-49,293432,285725
50-54,324052,318475
55-59,300869,293558
60-64,227297,229601
65-69,182415,198979
70-74,163126,194615
75-79,146391,194071
80-84,96926,149342
85-89,48381,94964
90-94,16033,41908
95-99,2462,9140
100+,161,803
