Age,M,F
0-4,220666,209373
5-9,290077,275933
10-14,308694,292972
15-19,274940,260872
20-24,261862,251184
25-29,290707,281324
30-34,321479,309060
35-39,325014,310298
40-44,305876,294061
45-49,291801,284044
50-54,316486,311370
55-59,309315,302968
60-64,239901,240423
65-69,184418,199331
70-74,161062,190991
75-79,143442,189660
80-84,99722,151954
85-89,49362,94736
90-94,17124,43364
95-99,3114,10709
100+,166,848
