Age,M,F
0-4,297461,282666
5-9,299236,284091
10-14,262817,248838
15-19,257653,245217
20-24,290598,280011
25-29,319792,305843
30-34,321776,305216
35-39,303498,289880
40-44,296484,286269
45-49,329655,321142
50-54,309227,298114
55-59,237251,235166
60-64,196725,207326
65-69,185091,208221
70-74,181696,219614
75-79,139303,187606
80-84,90478,145450
85-89,43860,88443
90-94,13074,34785
95-99,1961,6903
100+,139,604
