Age,M,F
0-4,256892,243430
5-9,243598,231686
10-14,272202,259911
15-19,299864,285521
20-24,304458,289617
25-29,294134,280309
30-34,290464,277757
35-39,325114,312972
40-44,326613,310937
45-49,262007,251252
50-54,214955,214970
55-59,209126,217541
60-64,224197,241130
65-69,208283,233801
70-74,174200,211734
75-79,131540,181289
80-84,76238,126083
85-89,32319,65123
90-94,9566,23075
95-99,1713,4963
100+,109,362
