Age,M,F
0-4,298986,283365
5-9,291610,275789
10-14,259869,245838
15-19,273880,256464
20-24,358849,342217
25-29,330147,316546
30-34,305812,291227
35-39,306600,295621
40-44,333856,324349
45-49,342639,330818
50-54,311302,302561
55-59,287723,284887
60-64,279789,281635
65-69,295877,302170
70-74,225627,234227
75-79,147592,172096
80-84,100289,138472
85-89,60808,101794
90-94,24900,53860
95-99,5160,15014
100+,315,1556
