Age,M,F
0-4,301485,285892
5-9,299195,282670
10-14,266698,252838
15-19,261779,243831
20-24,357493,340446
25-29,340392,326828
30-34,312495,297837
35-39,305204,293737
40-44,329752,320645
45-49,345963,334522
50-54,316436,307006
55-59,291318,288158
60-64,272993,274571
65-69,297411,304666
70-74,236533,244568
75-79,154666,177200
80-84,101836,138990
85-89,60575,101233
90-94,24114,53525
95-99,4186,13317
100+,332,1613
