Age,M,F
0-4,308346,292913
5-9,272377,258148
10-14,251024,238000
15-19,271447,259380
20-24,306586,293641
25-29,320397,303968
30-34,309572,293365
35-39,295730,283211
40-44,315757,305412
45-49,330664,318743
50-54,272816,263088
55-59,212172,214899
60-64,196430,210284
65-69,198596,224482
70-74,182432,220599
75-79,134514,183599
80-84,87931,141985
85-89,40458,81484
90-94,11825,30472
95-99,2307,7074
100+,129,513
