Age,M,F
0-4,249774,237922
5-9,285217,271920
10-14,299741,284540
15-19,291384,277940
20-24,284188,272147
25-29,298654,285036
30-34,342157,325536
35-39,311709,292073
40-44,241844,232015
45-49,218814,217549
50-54,227595,231713
55-59,250800,258749
60-64,228633,241354
65-69,210824,234260
70-74,170930,208948
75-79,112898,159019
80-84,61445,100415
85-89,24683,47865
90-94,6910,15185
95-99,1052,2596
100+,84,213
