Age,M,F
0-4,304826,289601
5-9,292418,277432
10-14,257168,243460
15-19,261228,248499
20-24,296990,286003
25-29,322037,307075
30-34,319252,302366
35-39,300862,287470
40-44,300838,290475
45-49,333715,324255
50-54,299135,287618
55-59,226609,226207
60-64,196002,207764
65-69,189094,213101
70-74,184556,222975
75-79,137282,186300
80-84,89616,145850
85-89,41453,85890
90-94,11249,31298
95-99,1697,6048
100+,135,571
