Age,M,F
0-4,303483,288199
5-9,262472,248669
10-14,250664,237914
15-19,277749,265589
20-24,309335,295310
25-29,317809,300814
30-34,304250,288621
35-39,294712,282411
40-44,325193,314629
45-49,323984,310525
50-54,257853,249868
55-59,208612,212558
60-64,198209,212755
65-69,204400,230852
70-74,179173,216786
75-79,134707,184171
80-84,86574,140192
85-89,39079,79085
90-94,11341,29248
95-99,2017,6310
100+,126,486
