Age,M,F
0-4,303513,287704
5-9,306231,289696
10-14,290513,275530
15-19,264055,249785
20-24,309944,292579
25-29,372107,357186
30-34,334499,320845
35-39,310385,296568
40-44,315469,305415
45-49,341009,331434
50-54,336829,326197
55-59,302497,296627
60-64,275168,275986
65-69,274541,281924
70-74,266995,279306
75-79,183688,201730
80-84,108353,140084
85-89,61297,97764
90-94,26860,53988
95-99,6876,18332
100+,393,1728
