Age,M,F
0-4,283866,269255
5-9,249342,236373
10-14,254615,242243
15-19,289305,275897
20-24,311313,295701
25-29,310791,293313
30-34,296132,281542
35-39,300110,287931
40-44,336731,324787
45-49,304588,289679
50-54,233153,228598
55-59,205915,211816
60-64,205899,221456
65-69,212915,239497
70-74,174761,211974
75-79,135226,185980
80-84,82763,137050
85-89,34033,72507
90-94,9166,24472
95-99,1410,4715
100+,120,435
