Age,M,F
0-4,237800,225749
5-9,306283,291101
10-14,295374,279897
15-19,260394,246458
20-24,264299,254473
25-29,302134,291864
30-34,324755,310198
35-39,318720,303523
40-44,298372,287483
45-49,297092,289360
50-54,327479,321083
55-59,290546,282951
60-64,216730,220674
65-69,181155,199335
70-74,165928,198995
75-79,148098,196926
80-84,94330,147702
85-89,46451,94118
90-94,14087,38626
95-99,2079,8106
100+,156,758
