Age,M,F
0-4,239297,227035
5-9,256545,244824
10-14,289668,276375
15-19,300207,285594
20-24,292524,280081
25-29,286866,274272
30-34,305351,292399
35-39,338840,323912
40-44,295163,278831
45-49,228964,223429
50-54,213371,216184
55-59,224216,233503
60-64,235434,251478
65-69,204169,228468
70-74,176045,213877
75-79,125286,174558
80-84,68773,115208
85-89,28832,56641
90-94,8354,19468
95-99,1691,4318
100+,98,295
