Age,M,F
0-4,239086,227197
5-9,272549,260322
10-14,297020,282515
15-19,297312,283386
20-24,287242,274915
25-29,288534,275910
30-34,327641,313517
35-39,330700,312456
40-44,266375,253099
45-49,220588,217552
50-54,217842,221760
55-59,239626,248944
60-64,231449,246001
65-69,207186,231120
70-74,173871,211859
75-79,119182,166738
80-84,65557,107114
85-89,27830,53090
90-94,8336,18394
95-99,1524,3744
100+,92,252
