Age,M,F
0-4,274983,260744
5-9,245798,233190
10-14,259254,246973
15-19,294175,280527
20-24,310356,294568
25-29,305119,288891
30-34,293001,279298
35-39,306289,294258
40-44,336727,323780
45-49,291777,277562
50-54,224248,221437
55-59,205761,212750
60-64,210857,227063
65-69,213196,239702
70-74,173077,210339
75-79,134198,184430
80-84,80944,133271
85-89,33602,69898
90-94,9844,24320
95-99,1890,5580
100+,117,410
