Age,M,F
0-4,242611,230321
5-9,256640,243900
10-14,314490,298869
15-19,292716,277716
20-24,263937,252857
25-29,280222,270680
30-34,314562,303976
35-39,328118,314377
40-44,314900,302123
45-49,294210,285937
50-54,298709,293600
55-59,319207,315380
60-64,267261,264684
65-69,193869,205362
70-74,160095,186634
75-79,137898,180500
80-84,104324,157559
85-89,50309,94950
90-94,17289,43477
95-99,3519,11743
100+,178,944
