Age,M,F
0-4,264797,251577
5-9,307736,292405
10-14,279047,264283
15-19,255076,242502
20-24,276231,266067
25-29,312698,300851
30-34,325049,309401
35-39,311191,296704
40-44,294914,284649
45-49,312327,304576
50-54,324280,315679
55-59,264791,259060
60-64,202125,209803
65-69,180827,201927
70-74,172839,208789
75-79,145389,193957
80-84,91197,144236
85-89,46322,91671
90-94,14906,38069
95-99,2795,9287
100+,147,677
