Age,M,F
0-4,295559,279738
5-9,284071,269037
10-14,252798,238610
15-19,291545,274513
20-24,352813,336803
25-29,320490,306479
30-34,300448,286221
35-39,309638,299193
40-44,337663,327400
45-49,337149,325250
50-54,307098,299119
55-59,284135,281400
60-64,289836,292039
65-69,290094,294917
70-74,214266,224193
75-79,142641,169046
80-84,99659,138961
85-89,61203,103379
90-94,24943,53635
95-99,5184,15064
100+,298,1488
