Age,M,F
0-4,242805,230948
5-9,279616,266895
10-14,299141,284170
15-19,294643,280982
20-24,285379,273182
25-29,292402,279389
30-34,337071,321835
35-39,322289,302923
40-44,252942,241482
45-49,219276,217194
50-54,222087,226214
55-59,246422,255219
60-64,229283,242905
65-69,209374,233045
70-74,172587,210589
75-79,116034,162830
80-84,63745,103726
85-89,26524,50778
90-94,7821,17160
95-99,1223,3043
100+,88,232
