Age,M,F
0-4,252092,239131
5-9,243435,231122
10-14,311402,295952
15-19,301285,285531
20-24,268180,256846
25-29,277481,267646
30-34,310986,300811
35-39,329127,315853
40-44,319760,306621
45-49,297474,288633
50-54,293550,288194
55-59,320064,316957
60-64,279793,276423
65-69,202887,212476
70-74,161735,186347
75-79,136828,177679
80-84,105311,159047
85-89,51398,97247
90-94,16434,42961
95-99,2681,10064
100+,187,995
