Age,M,F
0-4,280844,265834
5-9,240315,228092
10-14,276405,262110
15-19,328372,312066
20-24,299335,285286
25-29,280916,268054
30-34,297852,287578
35-39,327682,316829
40-44,331836,318880
45-49,308970,298920
50-54,289546,283743
55-59,300191,298274
60-64,304863,304247
65-69,237755,241697
70-74,168998,188627
75-79,133342,168402
80-84,101825,149636
85-89,59001,104845
90-94,19757,46136
95-99,4319,13680
100+,224,1149
