Age,M,F
0-4,230347,218668
5-9,273981,260567
10-14,312972,297255
15-19,283699,269307
20-24,262000,251073
25-29,284769,275420
30-34,318180,306812
35-39,326784,312544
40-44,310218,297893
45-49,292184,284264
50-54,306973,301976
55-59,315551,310534
60-64,253648,252435
65-69,187878,201120
70-74,159944,188250
75-79,140250,184697
80-84,102388,155008
85-89,49730,94274
90-94,17580,43806
95-99,3581,11812
100+,171,895
