Age,M,F
0-4,298629,283722
5-9,304259,287301
10-14,275091,261319
15-19,257214,240173
20-24,348120,330726
25-29,350710,336846
30-34,319332,304638
35-39,305343,293064
40-44,325156,315970
45-49,346694,335644
50-54,322889,312858
55-59,295262,291340
60-64,270474,271748
65-69,293723,301636
70-74,247095,255934
75-79,162918,183673
80-84,103418,138449
85-89,61187,100075
90-94,26173,55517
95-99,4922,14747
100+,352,1661
