Age,M,F
0-4,278103,263631
5-9,234260,222365
10-14,292534,277614
15-19,319730,303985
20-24,287939,274295
25-29,277001,265478
30-34,301549,291830
35-39,329024,317275
40-44,326752,313826
45-49,304406,294809
50-54,287701,282167
55-59,309055,307242
60-64,297191,295147
65-69,224388,230220
70-74,164984,186276
75-79,133504,170186
80-84,103078,152867
85-89,57055,102370
90-94,19290,46112
95-99,3804,12593
100+,210,1095
