Age,M,F
0-4,285793,270041
5-9,260494,247138
10-14,249807,236846
15-19,331360,313641
20-24,319625,305796
25-29,295244,279807
30-34,294674,282245
35-39,321708,312015
40-44,340264,327463
45-49,318205,307468
50-54,296317,289743
55-59,286105,283452
60-64,311266,312886
65-69,262337,264221
70-74,183603,199367
75-79,136118,167947
80-84,100990,145773
85-89,60395,107984
90-94,19337,46261
95-99,3275,11624
100+,253,1269
