Age,M,F
0-4,282273,266851
5-9,250735,237949
10-14,260567,247031
15-19,333029,315918
20-24,309998,296035
25-29,287263,272979
30-34,295412,284189
35-39,325091,315007
40-44,336746,323782
45-49,313510,303080
50-54,292841,286688
55-59,291886,289621
60-64,309941,310672
65-69,250718,253262
70-74,175161,192950
75-79,134182,167664
80-84,101105,147201
85-89,60155,106885
90-94,19643,45863
95-99,4238,13518
100+,238,1207
