Age,M,F
0-4,283019,268939
5-9,304507,289244
10-14,270358,255988
15-19,255482,243155
20-24,283515,273152
25-29,316658,303780
30-34,323755,307622
35-39,307077,293065
40-44,294648,284468
45-49,321938,313971
50-54,317826,307792
55-59,250397,246437
60-64,198587,207832
65-69,182355,204533
70-74,177504,214613
75-79,142269,190518
80-84,90782,144624
85-89,45523,90350
90-94,14251,36839
95-99,2439,8262
100+,143,640
