Age,M,F
0-4,309033,293610
5-9,283007,268376
10-14,253049,239722
15-19,265736,253424
20-24,302410,290567
25-29,321897,306152
30-34,314738,298085
35-39,297996,285120
40-44,307043,296743
45-49,334046,323576
50-54,287020,276041
55-59,218062,219342
60-64,195712,208659
65-69,193240,218283
70-74,184481,222997
75-79,135281,184187
80-84,88923,143924
85-89,41215,83732
90-94,11778,30989
95-99,2261,7105
100+,132,541
