Age,M,F
0-4,248996,235920
5-9,245773,234041
10-14,278812,266321
15-19,300663,285954
20-24,300140,286378
25-29,290198,277041
30-34,292548,279940
35-39,333229,320542
40-44,317834,301181
45-49,248394,239593
50-54,213393,214456
55-59,212979,221726
60-64,230303,247116
65-69,205792,230700
70-74,175781,213390
75-79,129940,179782
80-84,73527,122954
85-89,30909,62201
90-94,8834,21695
95-99,1406,4160
100+,106,339
