Age,M,F
0-4,238057,226054
5-9,264500,252625
10-14,293784,279901
15-19,299204,284937
20-24,289667,277288
25-29,286918,274432
30-34,316024,302653
35-39,336409,319831
40-44,281020,265991
45-49,223464,219305
50-54,214954,218446
55-59,231627,241104
60-64,234054,249475
65-69,205063,229216
70-74,174993,212916
75-79,122304,170676
80-84,67134,110908
85-89,28528,54851
90-94,8554,19191
95-99,1740,4275
100+,95,273
